time,200,422 
0,1.2,0.6 
10,2.2,1.1 
20,2.2,1.1 
30,4.8,2.4 
40,5.4,2.7 
50,2.2,1.1 
60,6,3 
70,8.8,4.4 
80,9.2,4.6 
90,13.2,6.6 
